,Enter Chap.,#Choose Item Type,Enter Item #,Enter Figure Legend or Table/Box Title,Enter Credit Line from Chapter,Likely Needs Permission
,1,Figure,1-5,Examples of kinetic movement analysis. Kinetic analysis focuses on the cause of movement. The weight lifter demonstrates how lifting can be analyzed by looking at the vertical forces on the ground that produce the lift (linear) and the torques produced at the three lower extremity joints that generate the muscular force required for the lift.,"(Redrawn from Lander, J., et al. [1986]. Biomechanics of the squat exercise using a modified center of mass bar. Medicine & Science in Sports & Exercise, 18:469-478.)",NO
,2,Box,,Which Exercises Are Best?,"Source: Turner, C., Robling, A. (2003). Designing exercise regimens to increase bone strength. Exercise and Sport Sciences Reviews, 31(1):45-50.",NO
,2,Box,,What Exercise Prescription Will Facilitate Bone Growth in Children and Adolescents?,"Source: Kohrt, W. M., et al. (2004). Physical activity and bone health. ACSM position stand. Medicine & Science in Sports & Exercise, 36:1985-1996.",NO
,2,Box,,What Exercise Prescription Will Help Preserve Bone Health in Adults?,"Source: Kohrt, W. M., et al. (2004). Physical activity and bone health. ACSM position stand. Medicine & Science in Sports & Exercise, 36:1985-1996.",NO
,2,Figure,2-3,Stress–strain curves for bone vertebral segments from a normal and immobilized rhesus monkey.,"(Adapted from Kazarian, L. E., Von Gierke, H. E. [1969]. Bone loss as a result of immobilization and chelation. Preliminary results in Macaca mulatta. Clinical Orthopaedics, 65:67-75.)",NO
,2,Figure,2-6,"The shaded area represents the tension stress–strain values of an adult human tibia during jogging, and the solid line represents bone samples tested to failure.","(Adapted with permission from Nordin, M., Frankel, V. H. [1989]. Basic Biomechanics of the Musculoskeletal System, 2nd ed. Philadelphia, PA: Lea & Febiger.)",NO
,2,Figure,2-11,Anterior view (left) and posterior view (right) of the bones of the human body.,"(Reprinted with permission from Willis, M. C. [1996]. Medical Terminology: The Language of Health Care. Baltimore, MD: Lippincott Williams & Wilkins.)",NO
,2,Figure,2-13,"Structure of the humerus long bone, showing spongy (cancellous) bone and compact (corticol) bone.  The dense cortical bone lines the outside of the bone and forms the shaft of the bone. Cancellous bone is found in the ends and is distinguishable by its lattice-like appearance.","(Reprinted with permission from Braun MB and Simonson SJ. Introduction to Massage Therapy, 3rd ed. Wolters Kluwer, 2014.)",NO
,2,Figure,2-16,"Mechanosensitivity (represented by the dotted line) is an indication of bone’s potential for response to a mechanical stimulus (muscle force or external load). (A) Bone cell desensitization occurs when a loading bout (black line) produces no additional osteogenic response, reaching saturation. (B) After a loading bout stimulus, a recovery period sufficient enough to allow full sensitivity to be restored is optimal for osteogenic response. (C) Short bout exercise with rest periods in between does stimulate bone cells but not at the same level as (B) since cells are not at their optimal level of mechanosensitivity.","(Used with permission from Robling, A. G., et al. [2001]. Recovery periods restore mechanosensitivity to dynamically loaded bone. The Journal of Experimental Biology, 204:3389-3399.)",NO
,2,Figure,2-18,Ultimate stress for human adult cortical bone specimens.,"(Adapted with permission from Nordin, M., Frankel, V. H. (Eds.) [1989]. Basic Biomechanics of the Musculoskeletal System, 2nd ed. Philadelphia, PA: Lea & Febiger.)",NO
,2,Figure,2-24,"The lumbar vertebrae can incur compressive fracture (arrowhead), in which the body of the vertebra is shortened and widened. This type of fracture has been associated with loading of the vertebrae while maintaining a hyperlordotic position.","(Reprinted with permission from Nordin, M., Frankel, V. H. [1989]. Basic Biomechanics of the Musculoskeletal System, 2nd ed. Philadelphia, PA: Lea & Febiger.)",NO
,2,Figure,2-34,Comparison of in vivo tibial strain during four exercises compared with walking.,"(Adapted from Milgrom, C., et al. [2000]. In-vivo strain measurements to evaluate the strengthening potential of exercises on the tibial bone. The Journal of Bone and Joint Surgery, 82-B:591-594.)",NO
,2,Figure,2-35,Comparison of in vivo tibial strain rates during four exercises compared with walking.,"(Reproduced and modified from Milgrom, C., et al. [2000]. In-vivo strain measurements to evaluate the strengthening potential of exercises on the tibial bone. Journal of Bone & Joint Surgery (British), 82(4):591–594, with permission from The British Editorial Society of Bone & Joint Surgery.)",NO
,2,Figure,2-36,"Stress fractures occur in response to overloading of the skeletal system so that cumulative microtraumas occur in the bone. A stress fracture to the second metatarsal, as shown in this radiograph (arrow), is caused by running on hard surfaces or in stiff shoes. It is also associated with persons with high arches and can be created by fatigue of the surrounding muscles.","(Reprinted with permission from Fu, H. F., Stone, D. A. [1994]. Sports Injuries. Baltimore, MD: Lippincott Williams & Wilkins.)",NO
,2,Figure,2-38,"A stress–strain curve for a ligament. In the toe region, the collagen fibers of the ligament are wavy. The fibers straighten out in the linear region. In the plastic region, some of the collagen fibers tear.","(Adapted with permission from Butler, D. L., et al. [1978]. Biomechanics of ligaments and tendons. Exercise and Sports Sciences Reviews, 6:125-181.)",NO
,2,Figure,2-44,"Deep friction massage on the supraspinatus tendon isolated through internal rotation, extension, and adduction of the arm.","(Used with permission from Andrade, C-K. [2013]. Outcome-Based Massage. Philadelphia, PA: Wolters Kluwer Health.)",NO
,2,Figure,2-45,Hypermobility of the thumb.,(Image from Shutterstock.),NO
,3,Box,Unnumbered,What Are the Components of a Resistance Training Program?,"Source: Kraemer, W. J., Ratamess, N. A. (2004). Fundamentals of resistance training: Progression and exercise prescription. Medicine & Science in Sports & Exercise, 36:674-688.",NO
,3,Box,Unnumbered,How Is Muscle Postulated to Be Damaged during Eccentric Exercise?,"Source: Proske, U., Allen, T. J. (2005). Damage to skeletal muscle from eccentric exercise. Exercise and Sport Sciences Reviews, 33:98-104.",NO
,3,Figure,3-1,Skeletal muscles of the human body: anterior and posterior views.,"(Reprinted with permission from Willis, M. C. [1986]. Medical Terminology: The Language of Health Care. Baltimore, MD: Lippincott Williams & Wilkins.)",NO
,3,Figure,3-7,A portion of a skeletal muscle fiber illustrating the sarcoplasmic reticulum that surrounds the myofibril.,"(Adapted with permission from Pittman, M. I., Peterson, L. [1989]. Biomechanics of skeletal muscle. In M. Nordin, V. H. Frankel (Eds.). Basic Biomechanics of the Musculoskeletal System, 2nd ed. Philadelphia, PA: Lea & Febiger, 89-111.)",NO
,3,Figure,3-9,"When a single stimulus is given, a twitch occurs. When a series of stimuli is given, muscle force increases to an uneven plateau or unfused tetanus. As the frequency of stimuli increases, the muscle force ultimately reaches a limit, or tetanus.","(Adapted with permission of Princeton University Press from McMahon, T. A. [1984]. Muscles, Reflexes, and Locomotion. Princeton, NJ: Princeton University Press.Permission conveyed through Copyright Clearance Center, Inc.)",NO
,3,Figure,3-14,"(A) The most common form of the Hill muscle model. (B) An alternative form. Because series elastic component (SEC) is usually stiffer than parallel elastic component (PEC) for most muscles, it generally does not matter which form of the model is used.","(Adapted with permission from Winters, J. M. [2000]. Terminology and foundations of movement science. In J. M. Winters, P. E. Crago (Eds.). Biomechanics and Neural Control of Posture and Movement. New York: Springer-Verlag, 3-35.)",NO
,3,Figure,3-19,"The isometric force output varies with the joint angle. As the shoulder angle increases, the shoulder extension force increases. The reverse happens with shoulder flexion force values, which decrease with an increase of the shoulder angle.","(Adapted with permission from Kulig, K., et al. [1984]. Human strength curves. In R. L. Terjund (Ed.). Exercise and Sport Sciences Reviews, 12:417-466.)",NO
,3,Figure,3-22,It has been illustrated that eccentric muscle action can produce high workloads at lower oxygen uptake levels than the same loads produced with concentric muscle action.,"(Adapted with permission from Asmussen, E. [1952]. Positive and negative muscular work. Acta Physiologica Scandinavica, 28:364-382.)",NO
,3,Figure,3-23,The integrated EMG activity (IEMG) in the biceps brachii muscle is higher as the same forces are generated using concentric muscle action compared with eccentric muscle action.,"(Adapted with permission from Komi, P. V. [1986]. The stretch–shortening cycle and human power output. In N. L. Jones, et al. (Eds.). Human Muscle Power. Champaign, IL: Human Kinetics, 27-39.)",NO
,3,Figure,3-24,"Eccentric muscle action can generate the greatest amount of torque through a given range of motion. Isometric muscle action can generate the next highest level of torque, and concentric muscle action generates the least torque.","(Redrawn with permission from Enoka, R. M. [1988]. Neuromuscular Basis of Kinesiology. Champaign, IL: Human Kinetics.)",NO
,3,Figure,3-32,"Neural facilitation in the gastrocnemius. In trained jumpers, the prestretch is used to facilitate the neural activity of the lower extremity muscles. Neural facilitation coupled with the recoil effect of the elastic components adds to the jump if it is performed with the correct timing and amplitude.","(Adapted from Sale, D. G. [1988]. Neural adaptation to resistance training. Medicine & Science in Sports & Exercise, 20(5):S135-S145, (Figure 4 on p. S137).)",NO
,3,Figure,3-33,"(A) During strength training, the muscle fibers increase in cross section as the myofibrils become larger and separate. (B) It has been hypothesized that the fibers may also actually split, but this has yet to be demonstrated in humans.","(Adapted with permission from MacDougall, J. D. [1992]. Hypertrophy or hyperplasia. In P. Komi (Ed.). Strength and Power in Sport, 2nd ed. Boston, MA: Blackwell Scientific, 252-264.)",NO
,3,Table,3-1,Sample Weight-Training Cycle,Source: Roundtable on periodization: Part 2. NSCA Journal. 1986;8(6):17-24.,NO
,3,Table,3-2,Sample Linear and Nonlinear Periodization Activities,"Source: Lorenz, D. S., et al. (2010). Periodization: Current review and suggested implementation for athletic rehabilitation. Sports Health, 2:509-518.",NO
,3,Table,3-3,Resistance Training Ideas for Various Musculoskeletal Conditions,"Source: Kristensen, J., Franklyn-Miller, A. (2012). Resistance training in musculoskeletal rehabilitation: A systematic review. British Journal of Sports Medicine, 46:719-726.",NO
,4,Box,,Exercise Recommendations for MS,"Information from: White, L. J., Dressendorfer, R. H. (2004). Exercise and multiple sclerosis. Sports Medicine, 34:1077-1100.",NO
,4,Figure,4-10,"The order of activation of the motor units, termed recruitment, usually follows the size principle: The small slow-twitch fibers are recruited first, followed by the fast-twitch oxidative, and last by the fast-twitch glycolytic fibers. (A) The muscle activity for the three muscle types for three support phases in walking. Slow-twitch fibers are used for most of the gait cycle, with some recruitment of fast-twitch fibers at peak activation times. (B) Similar recruitment pattern, with slow-twitch fibers recruited for up to 40% of the exercise intensity, at which point the fast-twitch oxidative fibers are recruited. It is not until 80% of exercise intensity is reached that the fast-twitch glycolytic fibers are recruited.","Reprinted with permission from (A) Grimby, L. [1986]. Single motor unit discharge during voluntary contraction and locomotion. In N. L. Jones, et al. (Eds.). Human Muscle Power. Champaign, IL: Human Kinetics, 111-130; (B) Sale, D. G. [1987]. Influence of exercise and training on motor unit activation. Exercise and Sport Sciences Reviews, 15:95-151.",NO
,4,Figure,4-11,"(A) Tension development in the muscle is influenced by the frequency at which a motor unit is activated, termed rate coding. In a submaximal muscle contract and hold, the high-threshold fast-twitch fibers increase firing rates in the ramp phase more than the low-threshold units. The frequency of motor unit firing drops off during the hold phase, and the high-threshold units cease firing. (B) In a more vigorous contract and hold, the rate coding increases and is maintained further into the contraction by both the high- and low-threshold motor units.","Reprinted with permission from Sale, D. G. [1987]. Influence of exercise and training on motor unit activation. Exercise and Sport Sciences Reviews, 15:95-151.",NO
,4,Figure,4-22,"(A) Explosive strength training has been shown to decrease the electromechanical delay (EMD) in the muscle contraction after 12 weeks of training. The EMD increases again, however, if training continues to 24 weeks and drops off slightly with detraining. The influence of heavy resistance training on EMD is negligible. (B) The IEMG increases in the early weeks during heavy resistance training but not with explosive training. It is believed that some neural adaptation occurs in the early stages of specific types of resistance training, which facilitates an early increase in force production.","From Hakkinen, K., Komi, P. V. [1986]. Training-induced changes in neuromuscular performance under voluntary and reflex conditions. European Journal of Applied Physiology, 55:147-155. Reprinted by permission from Springer Nature/European Journal of Applied Physiology.",NO
,4,Figure,4-23,"When a repetitive stretch of short duration is applied to the muscle, the connective tissue and muscle respond like a spring, with a short-term elongation of the tissue but a return to the original length after a short time. In a long-term sustained stretch, especially while the muscle is warm, the tissues behave more hydraulically, as a long-term deformation of the tissues takes place.","From Sapega, A. A., et al. [1981]. Biophysical factors in range of motion exercises. The Physician and Sportsmedicine, 9:57-64. Reprinted by permission of Taylor & Francis Ltd.",NO
,4,Figure,4-28,Some of the influences on the electromyographic signal. (1) Muscle fiber diameter. (2) Number of muscle fibers. (3) Electrode–skin interface. (4) Signal conditioning. (5) Number of active motor units. (6) Tissue. (7) Distance from skin surface to muscle fiber. (8) Muscle fiber conduction velocity. (9) Muscle blood flow. (10) Interelectrode spacing. (11) Fiber type and location. (12) Motor unit firing rate.,"Adapted with permission from Kamen, G., Caldwell, G. E. [1996]. Physiology and interpretation of the electromyogram. Journal of Clinical Neurophysiology, 13:366-384.",NO
,4,Figure,4-31,The EMD of the biceps brachii during elbow flexion. Top: The EMG activity of the biceps brachii. Bottom: The elbow angular velocity profile.,"From Gabriel, D. A., Boucher, J. P. [1998]. Effects of repetitive dynamic contractions upon electromechanical delay. European Journal of Physiology, 79:37-40. Reprinted by permission from Springer Nature / European Journal of Physiology.",NO
,4,Figure,4-32,A linear relationship between EMG amplitude and external muscle force is frequently observed (dotted line). Numerous exceptions often result in a curvilinear relationship.,"Adapted from a drawing by G. Kamen, University of Massachusetts at Amherst.",NO
